STRUCTURE_NUMBER_008,COUNTY_CODE_003,FACILITY_CARRIED_007,FEATURES_DESC_006A,LOCATION_009,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,YEAR_BUILT_027,ADT_029,MODEL_DETERIORATION_RISK_SCORE,RISK_RANK,RISK_PERCENTILE,RISK_GROUP
000000000067892,91,NEW HANOVER SQ. RD,BRANCH OF SWAMP CREEK,GILBERTSVILLE 3028B03,9.0,9.0,9.0,2022.0,1403.0,0.971246,1,100.0,Very high
000000000069579,91,WARMINSTER ROAD,PENNYPACK CREEK,HATBORO          3259-D04,9.0,9.0,9.0,2023.0,14386.0,0.968122,2,100.0,Very high
000000000068088,91,MARKLEY STREET,STONY CREEK,.1 MI. N. MAIN ST 3367E02,9.0,9.0,9.0,2021.0,27507.0,0.964675,3,100.0,Very high
000000000057457,101,INTERSTATE 95 (SB),CAMBRIA STREET,N.OF LEHIGH AVE.  3591C04,9.0,9.0,9.0,2023.0,66507.0,0.960807,4,100.0,Very high
000000000057501,101,INTERSTATE 95 (SB),ARAMINGO AVENUE,GIRARD INTC. 3591A05,9.0,9.0,9.0,2020.0,66507.0,0.960057,5,100.0,Very high
000000000057492,101,INTERSTATE 95 (SB),"PALMER,MONTGOMERY,BERKS",NEAR CUMBERLAND ST3590K05,9.0,9.0,9.0,2020.0,66507.0,0.959773,6,100.0,Very high
000000000068775,91,MILL CREEK ROAD,MILL CREEK,0.33MI NE OF US30 3478-E7,9.0,9.0,9.0,2024.0,9898.0,0.959758,7,100.0,Very high
000000000006971,17,TRAFFIC ROUTE 309,SEPTA (BETHLEHEM BRANCH),EAST OF TELFORD    20D07,9.0,9.0,8.0,1967.0,30042.0,0.959325,8,100.0,Very high
000000000068833,91,PLYMOUTH ROAD,WISSAHICKON CREEK,0.9 Mi SE US-202 3256-K1,9.0,9.0,9.0,2022.0,6063.0,0.956892,9,100.0,Very high
000000000057434,101,RAMP D-S.B. ON,"SPUR A,SEPTA,GIRARD,RP B",GIRARD INTERCH.   3591A05,9.0,9.0,9.0,2020.0,16404.0,0.956548,10,100.0,Very high
000000000068914,101,I-95NB OFF RAMP A,FRANKFORD CREEK,BETSY ROSS INTERCH3591G01,9.0,9.0,9.0,2023.0,14950.0,0.95648,11,100.0,Very high
000000000068596,17,ROUDENBUSH ROAD,KIMPLES CREEK,2 MI NW SR563 ADC 2696-H5,9.0,9.0,9.0,2021.0,200.0,0.955167,12,99.9,Very high
000000000068361,133,I-83; SR 0083 NB,SR 0851 EB & WB,0.7 MI.E. OF SHREWSBURY,9.0,9.0,8.0,2021.0,20385.0,0.954808,13,99.9,Very high
000000000069101,91,OTTS ROAD,MACOBY CREEK,0.1 Mi E SR0663 2805-B6,9.0,9.0,9.0,2022.0,750.0,0.95423,14,99.9,Very high
000000000069001,101,INTERSTATE 95,VAN KIRK STREET,NEAR CARVER STR.  3482A08,9.0,9.0,9.0,2024.0,280088.0,0.95345,15,99.9,Very high
000000000069604,45,New Road,W Branch Chester Creek,.6MI.WEST PA-452  25-F3,9.0,9.0,9.0,2024.0,1415.0,0.952666,16,99.9,Very high
000000000068349,107,PA 443(LR 140),Schuylkill River,COLUMBIA STREET,9.0,9.0,9.0,2024.0,10818.0,0.952391,17,99.9,Very high
000000000070027,45,MANCHESTER ROAD,RIDLEY CREEK,1.1 Mi W SR252 ADC 3696H6,9.0,9.0,9.0,2024.0,5234.0,0.951955,18,99.9,Very high
000000000068925,101,RAMP D (SB),CONRAIL,(BRI) RAMP D  3591G01,9.0,9.0,9.0,2023.0,10471.0,0.9519,19,99.9,Very high
000000000068985,101,INTERSTATE 95,COMLY STREET,NR.VAN KIRK ST.   3482A08,9.0,9.0,9.0,2024.0,280088.0,0.951898,20,99.9,Very high
000000000068152,91,CONGO ROAD,MIDDLE CREEK,GILBERTSVILLE 2915E07,9.0,9.0,9.0,2022.0,850.0,0.949633,21,99.9,Very high
000000000013421,39,"T-751,CREEK ROAD",OVER CUSSEWAGO CREEK,"0.25 MI.E.TR-98,CUSSEWAGO",9.0,5.0,5.0,1910.0,250.0,0.949463,22,99.9,Very high
000000000069389,45,Tribbett Avenue,Hermesprota Creek,1.3 Mi S SR13 ADC 29-B3,9.0,9.0,9.0,2024.0,1301.0,0.949106,23,99.9,Very high
000000000010450,29,SAGINAW ROAD,BIG ELK CREEK,NEAR HICKORY HILL  52D6,8.0,8.0,9.0,1925.0,484.0,0.947884,24,99.9,Very high
000000000069937,45,GLEN RIDDLE ROAD,CHROME RUN,1MI.WEST PA 352    33H09,9.0,9.0,9.0,2024.0,4353.0,0.947698,25,99.9,Very high
000000000069918,75,SHIRKSVILLE ROAD,EARLAKILL CREEK,2.1 E SHIRKSVILLE/EARKILL,9.0,9.0,9.0,2023.0,420.0,0.94756,26,99.9,Very high
000000000068362,133,I-83; SR 0083 SB,SR 0851 EB & WB,0.7 MI.E. OF SHREWSBURY,9.0,8.0,8.0,2021.0,19471.0,0.946206,27,99.9,Very high
000000000069543,133,PA 462; Market St.,Mill Creek,"0.01 MI W OF EXIT-19,I-83",9.0,9.0,9.0,2022.0,29918.0,0.946121,28,99.9,Very high
000000000067925,13,"T378, WEST LOOP RD",OLD TOWN RUN,4 MI.SE.OF HOLLIDAYSBURG,9.0,9.0,9.0,2022.0,595.0,0.945904,29,99.9,Very high
000000000068048,89,Silver Valley Road,McMichael Creek,0.5 miles from SR 209,9.0,9.0,9.0,2021.0,400.0,0.945557,30,99.9,Very high
000000000069337,61,SR 994,TATMAN RUN,0.6 MILE WEST OF SR 3001,9.0,9.0,9.0,2024.0,1285.0,0.945406,31,99.9,Very high
000000000068265,91,PLEASANT VIEW ROAD,POTTSTOWN EXPRESSWAY,SANATOGA  12C11 / 3139E02,9.0,8.0,8.0,2021.0,1153.0,0.944903,32,99.9,Very high
000000000069340,71,BOOT JACK ROAD,CONESTOGA RIVER,2000 FT SOUTH OF SR 23,9.0,9.0,9.0,2023.0,300.0,0.944519,33,99.8,Very high
000000000026923,89,SR 1004(LR 45027),Forest Hills Run,1.MI. E. OF PA 314,9.0,9.0,8.0,1957.0,713.0,0.943316,34,99.8,Very high
000000000005767,13,SR 3007,SMOKY RUN,1.5 MI.W.OF SPROUL,9.0,9.0,7.0,1961.0,358.0,0.943023,35,99.8,Very high
000000000069369,101,RAMP B-S.B.(ON),"95,RMPs X,Y,C,I,EE,JJ,CR",(BRI) RAMP B S.B. 3591G01,9.0,9.0,8.0,2023.0,11419.0,0.942994,36,99.8,Very high
000000000068731,69,T-309 FOURTH ST,LEHIGH RIVER,CLIFTON 1/4 MI N OF SR507,9.0,9.0,9.0,2021.0,300.0,0.942931,37,99.8,Very high
000000000069211,133,Eberts Lane,Mill Creek,SPRINGETTSBURY TWP,9.0,9.0,9.0,2022.0,4068.0,0.942633,38,99.8,Very high
000000000068520,103,SR 0390 TR 390,Bridge Creek,GREENE TWP .2 M N SR 3002,9.0,9.0,9.0,2021.0,1203.0,0.941742,39,99.8,Very high
000000000056858,91,RAMP XY -GROSSTOWN,POTTSTOWN BYPASS,STOWE INTERCHANGE 3137K02,9.0,7.0,8.0,2019.0,364.0,0.941594,40,99.8,Very high
000000000068429,103,SR 0084 I-84 EB,SR 2011,DINGMAN TWP OVER SR 2011,9.0,9.0,8.0,2023.0,7093.0,0.940878,41,99.8,Very high
000000000070233,69,COLLEGE RD T437,Ackerly Creek,LA PL TWP 100 FT EA T470,9.0,9.0,9.0,2024.0,405.0,0.939225,42,99.8,Very high
000000000068004,101,U.S. 13 (RAMP B),U.S. 1,.5MI.N.BROAD STR. 3480J07,9.0,9.0,8.0,2022.0,11731.0,0.938981,43,99.8,Very high
000000000000292,1,SR 3005,WILLOUGHBY RUN,3 MI. S.W. OF GETTYSBURG,9.0,9.0,7.0,1963.0,620.0,0.938833,44,99.8,Very high
000000000069504,133,Log Road; T-693,E. Branch of Codorus Cr,@ LK.REDMAN/E.BR.CODORUS,9.0,9.0,9.0,2024.0,1288.0,0.938658,45,99.8,Very high
000000000067924,111,SR 4023,BEAVER DAM CREEK,0.6 MI. NORTH OF SR 30,9.0,9.0,9.0,2023.0,657.0,0.937693,46,99.8,Very high
000000000068131,21,"T459, Red Mill Rd",NORTH BR.BLACKLICK CREEK,2 MI.W.OF BELSANO,9.0,8.0,9.0,2023.0,200.0,0.936509,47,99.8,Very high
000000000068052,99,SR 3007,Bixler Run,1 MI. W. Kistler,9.0,9.0,9.0,2023.0,196.0,0.936374,48,99.8,Very high
000000000070450,123,"T-621,REYNOLDS RD.",OVER REYNOLDS RUN,ELK TOWNSHIP,9.0,9.0,9.0,2024.0,70.0,0.935518,49,99.8,Very high
000000000057449,101,INTERSTATE 95 (SB),"RICHMOND, ANN ST, SEPTA",N.OF CAMBRIA  3591C04,9.0,8.0,8.0,2023.0,66507.0,0.935224,50,99.8,Very high
000000000069524,91,Hausman Rd (T-398),Ridge Valley Creek,1 Mi N PA-563     2918-B7,9.0,9.0,9.0,2022.0,75.0,0.935118,51,99.8,Very high
000000000008557,21,SR 1009,CHEST CREEK,4 MI.N.OF LORETTO,9.0,9.0,7.0,1934.0,519.0,0.934932,52,99.8,Very high
000000000068394,91,CHURCH ROAD,SEPTA NORRSTN.HIGH SPEED,1BL.E.YERKES RD.  3367-D7,9.0,9.0,8.0,2021.0,10639.0,0.933506,53,99.8,Very high
000000000035653,127,SR 2007,CARLEY BROOK,HONESDALE BORO .2M E TR 6,9.0,5.0,5.0,1909.0,372.0,0.931582,54,99.7,Very high
000000000069379,29,WATERMARK ROAD,MUDDY RUN,At Muddy Run Road 3797-B5,9.0,9.0,8.0,2023.0,160.0,0.931495,55,99.7,Very high
000000000048268,111,"T-800, Abex Road",Quemahoning Creek,1.0 mi South of Benson,9.0,5.0,5.0,1960.0,200.0,0.931267,56,99.7,Very high
000000000067956,129,SR 4012,Brush Creek,MANOR BORO. & HEMPFIELD T,9.0,9.0,9.0,2024.0,1103.0,0.931052,57,99.7,Very high
000000000068024,99,US-22;SR 0022 EB,SR 0034,2 MI.NE OF NEWPORT BORO,9.0,9.0,8.0,2022.0,9854.0,0.930911,58,99.7,Very high
000000000068973,25,PA 902,Mahoning Creek,"NINTH STREET,LEHIGHTON",9.0,9.0,9.0,2022.0,6429.0,0.930273,59,99.7,Very high
000000000023535,77,"T-383, Cassel Rd",PA TPK (I-476),1 MI N OF BUCKS CO. LINE,9.0,9.0,9.0,1955.0,200.0,0.930133,60,99.7,Very high
000000000069917,61,"T529, MILLER ROAD",LAUREL RUN,3 MI.NW.MCALEVYS FORT,9.0,9.0,9.0,2023.0,100.0,0.930117,61,99.7,Very high
000000000057517,45,CONCHESTER HIGHWAY,SEPTA & WEBB CREEK,1MI.SE.CONCORDVILL 32E12,8.0,9.0,9.0,2020.0,17632.0,0.929822,62,99.7,Very high
000000000070458,111,Tunnel Rd Accs Rmp,Three Lick Run,422-McDonald,9.0,9.0,9.0,2023.0,10.0,0.929786,63,99.7,Very high
000000000069305,55,Leafmore Rd,Back Creek,2 MI WEST OF SR 995,9.0,9.0,9.0,2024.0,600.0,0.92972,64,99.7,Very high
000000000068078,91,UNION AVENUE,SEPTA (IVY RIDGE BRANCH),300' SW PA-23    3479-D10,9.0,8.0,8.0,2020.0,2500.0,0.929514,65,99.7,Very high
000000000032416,115,SR 1011,HEMLOCK CREEK,HARMONY TWP .4M N SR 1009,9.0,8.0,5.0,1949.0,48.0,0.92941,66,99.7,Very high
000000000056664,91,COUNTY LINE EXPWY,SOUTH TROOPER ROAD,W. NORRITON  27J9/3366C3,8.0,8.0,9.0,2019.0,150726.0,0.928539,67,99.7,Very high
000000000005746,13,SR 2017,ROARING RUN,.75 MI.N.OF MT.ETNA,9.0,9.0,7.0,1963.0,137.0,0.927922,68,99.7,Very high
000000000069484,127,T-436 DANIELS ROAD,Branch of Middle Creek,1500 FT WEST OF SR 296,9.0,9.0,9.0,2022.0,115.0,0.927839,69,99.7,Very high
000000000023461,77,ROSS VALLEY RD,SWITZER CREEK,WEST OF SWEITZER,9.0,5.0,6.0,1950.0,100.0,0.927685,70,99.7,Very high
000000000070482,69,SR 0435 NB TR435,SR 0084 I-84 EB & WB,ROARING BR TWP OVER I-84,9.0,9.0,9.0,2024.0,3335.0,0.927427,71,99.7,Very high
000000000068846,45,MT. ALVERNO ROAD,CHESTER CREEK,.1MI E PA-452 ADC 26-B4,8.0,9.0,9.0,2022.0,2511.0,0.927371,72,99.7,Very high
000000000005904,13,"T375, Monastery RD",FRTOWN.BR.JUNIATA RIVER,1.5 MI.EAST OF NEWRY,8.0,9.0,8.0,1937.0,1469.0,0.927219,73,99.7,Very high
000000000041004,79,SR8031 OFF RAMP SB,LUZ&SUSQ RR; SUSQ RIVER,PLAINS TWP OVR SUSQ RIVER,9.0,7.0,7.0,1976.0,7167.0,0.927141,74,99.7,Very high
000000000029990,103,SR 2011,OUTLET SAWKILL POND,DINGMAN TWP .5 M S TR 6,9.0,9.0,7.0,1948.0,1909.0,0.926803,75,99.6,Very high
000000000069847,89,PA 715,McMichael Creek,Village of McMichael,9.0,9.0,9.0,2024.0,5637.0,0.926435,76,99.6,Very high
000000000033995,123,"SR 27,GRAND STREET",OVER ALLEGHENY RAILROAD,PITTSFIELD TOWNSHIP,9.0,9.0,9.0,1941.0,2308.0,0.925969,77,99.6,Very high
000000000016324,49,"SR 3014,OLD ST.RD.","OVER SR 79,NB/SB",FRANKLIN TOWNSHIP,9.0,6.0,8.0,1969.0,651.0,0.925565,78,99.6,Very high
000000000033966,123,"SR 6,GRAND ARMY HY",OVER MORSE RUN,CONEWANGO TOWNSHIP,9.0,6.0,6.0,1950.0,8651.0,0.925556,79,99.6,Very high
000000000030003,103,SR 4003,RATTLESNAKE CREEK,LACKAWAXN TP @ JCT SR1014,8.0,9.0,7.0,1939.0,537.0,0.925243,80,99.6,Very high
000000000068334,91,WEST KING STREET,MANATAWNY CREEK,POTTSTOWN    3138F1,8.0,9.0,8.0,2022.0,2387.0,0.924517,81,99.6,Very high
000000000056035,5,SR0422,CHERRY RUN,Intersec SR 422 & SR 2005,9.0,9.0,9.0,2024.0,8214.0,0.924362,82,99.6,Very high
000000000069485,107,PA 125,SWATARA CREEK,1 MI. S. OF TREMONT,9.0,9.0,9.0,2023.0,3799.0,0.92422,83,99.6,Very high
000000000069178,79,S.R. 2035,I-81,Suscon Road,9.0,8.0,8.0,2022.0,8755.0,0.924167,84,99.6,Very high
000000000068930,133,Meisenhelder,Cabin Creek,.45 E.PROSPECT/CABIN CREK,9.0,9.0,8.0,2023.0,153.0,0.92394,85,99.6,Very high
000000000047023,79,SR 4016,HUNLOCK CREEK,HUNLOCK TWP 300'W SR 4001,9.0,9.0,7.0,2011.0,4044.0,0.923576,86,99.6,Very high
000000000069311,103,SR 0084 I-84 EB,Wallenpaupack Creek,GREENE TWP 1.5 M W TR 507,9.0,9.0,7.0,2022.0,8263.0,0.923399,87,99.6,Very high
000000000068658,129,SR 2025,Welty Run,MOUNT PLEASANT TOWNSHIP,9.0,9.0,9.0,2023.0,795.0,0.923154,88,99.6,Very high
000000000029635,99,SR 3001,SHERMANS CREEK,1 MI.E. OF NEW GERMANTOWN,9.0,9.0,7.0,1959.0,50.0,0.922695,89,99.6,Very high
000000000021853,71,T823 HAMMERTOWN RD,LITTLE CONESTOGA CREEK,600 FT NORTH OF SR 1044,9.0,8.0,7.0,1935.0,310.0,0.922388,90,99.6,Very high
000000000067528,133,PA-124;Mt Rose Ave,I-83 NB/SB,At I-83 Exit 18,8.0,9.0,8.0,2020.0,23685.0,0.921926,91,99.6,Very high
000000000026049,85,"SR 4017, WERNER RD",LITTLE SHENANGO RIVER,SUGAR GROVE TOWNSHIP,9.0,6.0,7.0,1963.0,1535.0,0.921047,92,99.6,Very high
000000000068000,129,SR 0981,Boyer Run,MOUNT PLEASANT TOWNSHIP,9.0,9.0,9.0,2023.0,300.0,0.920893,93,99.6,Very high
000000000030802,107,SR 3002(LR 53004),UPPER LITTLE SWATARA CR,VILLAGE OF R0EDERSVILLE,9.0,5.0,6.0,1958.0,1223.0,0.920212,94,99.6,Very high
000000000068830,13,SR 2020,PINEY CREEK,0.3 MILE WEST OF SR 866,9.0,9.0,9.0,2023.0,852.0,0.920135,95,99.6,Very high
000000000033747,121,"SR 322,28th Div Hw",OVER SUGAR CREEK,SUGAR CREEK BOROUGH,9.0,9.0,8.0,1966.0,3510.0,0.919843,96,99.5,Very high
000000000048999,53,"SR 666,D ZEIS HWY",BOBBS CREEK,KINGSLEY TOWNSHIP,9.0,9.0,9.0,2014.0,139.0,0.919621,97,99.5,Very high
000000000068055,77,US 222(LR 157),Schaefer Run,1 MI.E.OF BERKS CO.LINE,9.0,9.0,8.0,2021.0,25871.0,0.91959,98,99.5,Very high
000000000032510,115,SR 2021,E BRANCH TUNKHANNOCK CRK,LENOX TWP 148' W TR 374,9.0,9.0,7.0,1965.0,516.0,0.919564,99,99.5,Very high
000000000070405,121,"SR 208, MERCER ST.",SF LITTLE SCRUBGRASS CK.,CLINTONVILLE BOROUGH,9.0,9.0,9.0,2024.0,1137.0,0.919361,100,99.5,Very high
000000000053623,123,"SR 3022,OLD RT 6",IRVINE RUN,BROKENSTRAW TWP,9.0,9.0,9.0,2016.0,1443.0,0.919202,101,99.5,Very high
000000000069974,25,N. OLD STAGE RD,MUD RUN,NW OF SR 903 NR ALBRIGHTV,9.0,9.0,8.0,2023.0,240.0,0.919167,102,99.5,Very high
000000000039106,101,15th Street,Abolished Conrail,N. of Callowhill   28F11,9.0,8.0,8.0,1898.0,7800.0,0.919004,103,99.5,Very high
000000000057671,115,SR 1022,SNAKE CREEK,LIBERTY TWP 1117' E TR 29,8.0,9.0,9.0,2020.0,245.0,0.918999,104,99.5,Very high
000000000068566,71,PA 230; W.Main st.,Trib To Donegal Creek,ONE MILE W OF FLORIN,8.0,9.0,9.0,2021.0,9018.0,0.917308,105,99.5,Very high
000000000054847,123,"SR 1012,LIBERTY ST",OVER CONEWANGO CREEK,PINE GROVE TOWNSHIP,9.0,9.0,9.0,2017.0,1459.0,0.917271,106,99.5,Very high
000000000004500,9,"T-383,Barkley Road",LITTLE WILLS CREEK,1.5 MI.SE.OF WEST END,9.0,9.0,7.0,1937.0,88.0,0.917203,107,99.5,Very high
000000000068254,77,SOUTH LEHIGH ST.,Little Lehigh Creek,LEHIGH STREET BRIDGE,9.0,9.0,9.0,2023.0,13748.0,0.916669,108,99.5,Very high
000000000029700,99,LITTLE BUFFALO RD.,LITTLE BUFFALO CREEK,4 MI. W. NEWPORT,9.0,9.0,7.0,1961.0,580.0,0.9165,109,99.5,Very high
000000000029643,99,SR 3004,SHULTZ'S CREEK,0.8MI SW CENTER SQUARE,9.0,9.0,7.0,1960.0,67.0,0.916258,110,99.5,Very high
000000000056024,85,"SR 318,W.MDLSX-MRC",SHENANGO RIVER,WEST MIDDLESEX BOROUGH,9.0,9.0,9.0,2018.0,4723.0,0.916173,111,99.5,Very high
000000000067633,71,SR4003;Kinderhook,Chiques Creek,0.75 MI. S.W. OF NEWTOWN,8.0,9.0,8.0,2023.0,1436.0,0.916021,112,99.5,Very high
000000000031858,111,T-586 BREHM ROAD,BENS CREEK,1.5 MI.SW.OF THOMAS MILLS,9.0,6.0,6.0,1895.0,50.0,0.915981,113,99.5,Very high
000000000031914,111,WALNUT STREET,FLAUGHERTY CREEK,MEYERSDALE BOROUGH,9.0,6.0,7.0,1989.0,50.0,0.914726,114,99.5,Very high
000000000068021,89,Hypsy Gap Road,Hypsy Creek,North of McMichaels,9.0,9.0,9.0,2021.0,100.0,0.914653,115,99.5,Very high
000000000022117,71,T-988 SPORTSMAN RD,COCALICO CREEK,1 MI WEST OF SR 1053,9.0,9.0,7.0,1950.0,50.0,0.914222,116,99.5,Very high
000000000028792,95,SR 4020(LR 48059),BERTSCH CREEK,MAPLE DR. @ BIRCH RD.,9.0,6.0,7.0,1889.0,1238.0,0.913961,117,99.4,Very high
000000000068779,129,SR 3030,SR 0030,HEMPFIELD TOWNSHIP,9.0,9.0,9.0,2023.0,5919.0,0.913656,118,99.4,Very high
000000000035359,125,DEEMS BRIDGE T-948,PIKE RUN,150' FROM SR 2071,9.0,9.0,8.0,1903.0,300.0,0.913196,119,99.4,Very high
000000000039073,101,W. COULTER STREET,SEPTA;CHESTNUT HI. W.BR.,.5MI. S.WAYNE AVE.3480B06,9.0,8.0,7.0,1901.0,2547.0,0.913011,120,99.4,Very high
000000000070403,39,"SR 1032,MAGEETOWN",OVER SHIRLEY RUN,ROME TOWNSHIP,9.0,9.0,9.0,2024.0,234.0,0.912995,121,99.4,Very high
000000000069306,5,SR2005,Cherry Run,EAST OF BRICK CHURCH,9.0,9.0,9.0,2022.0,260.0,0.912921,122,99.4,Very high
000000000016431,49,T-300 WILSON ROAD,DARROW BROOK,1/2 MI W OF FINN ROAD,9.0,9.0,7.0,1965.0,11.0,0.912914,123,99.4,Very high
000000000034068,123,SR 666,OVER TIONESTA CREEK S BR,SHEFFIELD TOWNSHIP,9.0,9.0,6.0,1957.0,618.0,0.912667,124,99.4,Very high
000000000057314,101,I-95 (NB & SB),SERGEANT & HUNTINGDON ST,NR.ARAMINGO AVE.  3591B05,8.0,8.0,9.0,2019.0,147295.0,0.912344,125,99.4,Very high
000000000067882,99,Cowpens Road,S. Br. Laurel Run,Toboyne Twp,9.0,9.0,9.0,2020.0,25.0,0.912064,126,99.4,Very high
000000000070416,85,"SR 62,FRANKLIN RD.",FOX RUN,JACKSON TOWNSHIP,9.0,9.0,9.0,2024.0,2614.0,0.912,127,99.4,Very high
000000000067647,5,SR 2063,Brady Run,BRADY RUN NO.3,9.0,9.0,9.0,2022.0,241.0,0.911972,128,99.4,Very high
000000000008770,21,ASH STREET,SOLOMON RUN,"JOHNSTOWN,ASH STREET",9.0,6.0,6.0,1987.0,1025.0,0.911371,129,99.4,Very high
000000000053631,77,SR 1015 (LR 39035),US 22 (LR 771),US22/FULLERTON INTERCHANG,9.0,8.0,8.0,2016.0,15280.0,0.911059,130,99.4,Very high
000000000069696,103,SR 0084 I-84 EB,T-357 Kuhn Hill Road,GREENE TWP 1.2 M W TR 507,9.0,9.0,7.0,2023.0,8263.0,0.910994,131,99.4,Very high
000000000070459,9,PA TPK (I-76),"SR 3012, LR 05032",WEST OF KEGG,9.0,9.0,9.0,2023.0,31200.0,0.910984,132,99.4,Very high
000000000068854,29,LOWER VALLEY ROAD,OFFICERS RUN,NEAR PARKESBURG    26H11,8.0,9.0,9.0,2023.0,3021.0,0.910773,133,99.4,Very high
000000000026225,85,Tie line Road,Swamp Run,3/4-mi S of Enterprise Rd,9.0,9.0,8.0,1968.0,561.0,0.910636,134,99.4,Very high
000000000070457,111,NORTH SHORE TRAIL,CALENDARS RUN,INDIAN LAKE BOROUGH,9.0,9.0,8.0,2024.0,20.0,0.910421,135,99.4,Very high
000000000068035,71,PEQUEA VALLEY RD,PEQUEA CREEK,1200 FT SW OF SR 772,8.0,9.0,9.0,2022.0,720.0,0.909872,136,99.4,Very high
000000000067451,73,T-473 BARTHOLOMEW,JENKINS RUN,BETWEEN T-361 AND T-359,9.0,9.0,9.0,2022.0,50.0,0.909673,137,99.4,Very high
000000000068409,71,Walnut St (PA 23),Millcross Rd (T-548),Walnut St Extension,8.0,9.0,8.0,2023.0,300.0,0.909319,138,99.3,Very high
000000000069299,95,SR2031COUNTRY CLUB,US 22,T-454 OVER U.S. 22,9.0,9.0,9.0,2024.0,5768.0,0.909293,139,99.3,Very high
000000000056637,127,SR 0371 TR 371,WEST BR LACKAWAXEN RIVER,MT PLEASANT TP FISH HATCH,8.0,8.0,9.0,2019.0,839.0,0.909243,140,99.3,Very high
000000000068996,71,T325 PETERS CRK RD,Peters Creek,1/2 MI SW OF SR 3005,8.0,9.0,9.0,2022.0,50.0,0.909038,141,99.3,Very high
000000000057274,21,"T509, Amadei Road",North.Br.Blacklick Creek,2.7 MI.SW.OF NICKTOWN,8.0,9.0,9.0,2019.0,115.0,0.908672,142,99.3,Very high
000000000068504,1,SR 3017,Mud Run,3.25 MI.N.W. OF GETTYSBRG,8.0,9.0,9.0,2021.0,1633.0,0.908505,143,99.3,Very high
000000000046578,103,SR 0434 TR 434,BALLIARD CREEK,LACKAWXN TWP 191'N SR1002,8.0,9.0,8.0,2011.0,3270.0,0.908168,144,99.3,Very high
000000000026255,85,Campground Road,Turkey Run,3/4-mi N of Oakhill Rd,9.0,9.0,5.0,1966.0,62.0,0.908069,145,99.3,Very high
000000000054456,59,SR 0019,Ten Mile Creek,0.3 mi N from SR 0188,9.0,9.0,9.0,2017.0,21072.0,0.908015,146,99.3,Very high
000000000069023,21,MAPLE AVENUE,W.BR.SUSQUEHANNA RIVER,Maple Ave N Cambria Boro,9.0,9.0,8.0,2024.0,308.0,0.907934,147,99.3,Very high
000000000069621,91,S PARK ROAD,US 422,LOWER POTTSGROVE  3139G02,8.0,9.0,8.0,2023.0,209.0,0.907785,148,99.3,Very high
000000000067575,91,HENRY ROAD,W. BR. PERKIOMEN CREEK,2.2 Mi E SR100    2803-K8,9.0,9.0,6.0,2020.0,30.0,0.907696,149,99.3,Very high
000000000027312,91,LIMEKILN PIKE,SEPTA,ABINGTON TWP.LINE 3370D03,8.0,9.0,7.0,1959.0,25856.0,0.907581,150,99.3,Very high
000000000008780,21,OAK STREET,SOLOMON RUN,"JOHNSTOWN,OAK STREET",9.0,5.0,6.0,1987.0,513.0,0.907372,151,99.3,Very high
000000000013127,39,"SR 408,THOMPSON ST",OVER OIL CREEK,HYDETOWN BOROUGH,9.0,9.0,7.0,1930.0,1634.0,0.907177,152,99.3,Very high
000000000055939,85,"SR 19,FRANKLIN ST.",OVER MUNNEL RUN,COOLSPRING TOWNSHIP,9.0,9.0,9.0,2018.0,7975.0,0.907091,153,99.3,Very high
000000000034279,123,"T-322,HYDE ROAD",OVER SPRING CREEK,SPRING CREEK TOWNSHIP,9.0,5.0,6.0,1996.0,100.0,0.906916,154,99.3,Very high
000000000029999,103,SR 3012,WALLENPAUPACK CREEK,GREENE TWP 100' E TR 191,8.0,9.0,8.0,1955.0,275.0,0.906503,155,99.3,Very high
000000000068995,75,US 22; SR 0022,BEACH  RUN,0.5 MILE SOUTH FREDRICKSB,8.0,8.0,9.0,2022.0,10216.0,0.906088,156,99.3,Very high
000000000067612,77,Gordon Street,Jordan Creek,Between 3rd & 4th,9.0,9.0,9.0,2020.0,5751.0,0.905827,157,99.3,Very high
000000000026927,89,RED ROCK RD(T-565),FOREST HILLS RUN,RED ROCK RD.(T-565),9.0,9.0,7.0,1950.0,896.0,0.905468,158,99.3,Very high
000000000030953,107,COVERED BRIDGE RD,LOWER LITTLE SWATARA CR,0.1 MI SOUTH OF SR 895,9.0,8.0,7.0,1860.0,50.0,0.905399,159,99.2,Very high
000000000009859,27,BEAR MEADOWS RD,GALBRAITH GAP RUN,1 MI SOUTH OF SR 322,9.0,9.0,8.0,1932.0,50.0,0.905148,160,99.2,Very high
000000000069601,51,SR 0021,SR 0166,GERMAN TOWNSHIP,9.0,9.0,9.0,2023.0,10315.0,0.905086,161,99.2,Very high
000000000068291,33,HOPKINS STREET,NORTH WITMER RUN,1000 FT SW OF SR 3005,9.0,9.0,9.0,2021.0,30.0,0.90479,162,99.2,Very high
000000000068926,95,SR 3016,Hokendauqua Creek,Indian Trail Road,9.0,9.0,9.0,2024.0,3025.0,0.904723,163,99.2,Very high
000000000016268,49,"SR 2020,WSHNGTN.ST",OVER FRENCH CREEK S BR,CONCORD TOWNSHIP,9.0,7.0,6.0,1962.0,1321.0,0.904363,164,99.2,Very high
000000000013794,41,PA-944;Enola Rd.,Locust Creek,Bloserville,9.0,9.0,5.0,1957.0,1006.0,0.903901,165,99.2,Very high
