STRUCTURE_NUMBER_008,COUNTY_CODE_003,FACILITY_CARRIED_007,FEATURES_DESC_006A,LOCATION_009,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,YEAR_BUILT_027,ADT_029,MODEL_DETERIORATION_RISK_SCORE,RISK_RANK,RISK_PERCENTILE,RISK_GROUP
000000000004995,11,SR 1021(LR 06203),MILL CREEK,EAGLE POINT,6.0,7.0,6.0,1984.0,3765.0,0.367704,13843,34.0,Low
000000000001574,3,WILLIAM PENN HY,LR 395 & CHALFONT RUN,OVER SR 2053,5.0,5.0,6.0,1941.0,22920.0,0.367647,13844,34.0,Low
000000000046340,77,SR 2047,S Branch of Saucon Creek,Landis Mill Road,7.0,8.0,7.0,2010.0,1389.0,0.367636,13845,34.0,Low
000000000039334,101,RAMP#3 ON RAMP,LANSDOWNE DRIVE,GIRARD AVE.INTERCH3589J04,6.0,6.0,6.0,1956.0,7637.0,0.36763,13846,34.0,Low
000000000036740,129,SR 4040,BRANCH OF CHARTIERS CK.,CITY OF LOWER BURRELL,6.0,6.0,6.0,1984.0,795.0,0.367621,13847,34.0,Low
000000000030684,107,PA 443,SWATARA CREEK,EAST SIDE OF PINE GROVE,5.0,6.0,5.0,1968.0,6823.0,0.367612,13848,34.0,Low
000000000039345,101,RAMP NV S.B. OFF,FAIRMOUNT AVENUE,VINE ST INTERCH. 3590H07,6.0,5.0,5.0,1975.0,16746.0,0.367585,13849,34.0,Low
000000000005309,11,WERNER STREET,WYOMISSING CREEK,MOHNTON/PENNWYN,4.0,4.0,5.0,1965.0,431.0,0.367579,13850,34.0,Low
000000000028478,95,SR2027 HECKTOWN RD,US 22 (LR 772),HECKTOWN RD. OVER US.22,5.0,3.0,5.0,1954.0,6287.0,0.367486,13851,34.0,Low
000000000024960,81,"SR 2085, EDKIN HIL",MUNCY CREEK,2MI.E.OF GLEN MAWR,8.0,6.0,7.0,1941.0,195.0,0.36748,13852,34.0,Low
000000000023580,77,RAMP LD-SR 8005,NORFOLK SOUTHERN RR,RAMP LD EXIT 57(18A),7.0,7.0,7.0,1989.0,4723.0,0.367479,13853,34.0,Low
000000000005293,11,"LR 412,SR 0023",PA TPK (I-76),EAST OF MORGANTOWN,7.0,6.0,5.0,1950.0,11870.0,0.367477,13854,34.0,Low
000000000013687,41,I-81 NB; SR 0081,NORFOLK SO.,0.25 MI.S.OF SR 2002,7.0,6.0,6.0,1963.0,31734.0,0.367406,13855,34.0,Low
000000000016994,51,SR 4017,WASHINGTON RUN,PERRYOPOLIS BOROUGH,5.0,5.0,6.0,1940.0,461.0,0.367394,13856,34.0,Low
000000000019196,63,SR0954,CROOKED CREEK,FULTON RUN RD,4.0,5.0,6.0,1954.0,680.0,0.36737,13857,34.0,Low
